Name,Strike,Dip,Dip_Dir,Cx,Cy,Cz,Nx,Ny,Nz,Sample_Radius,RMS,Gx,Gy,Gz,Length
BD_Face_1_norm_pl_measurements.71/227,137.352783203125,71.82624816894531,227.352783203125,121.66439819335938,82.60424041748047,88.08030700683594,-0.6988467574119568,-0.643686056137085,0.31189972162246704,0.16060826182365417,0.02240159921348095,526322,3.57478e+06,1088.08,0.30612
BD_Face_1_norm_pl_measurements.74/070,340.65234375,74.44017791748047,70.65235137939453,121.80026245117188,82.19082641601562,88.31658935546875,0.9089463949203491,0.31915736198425293,0.2682443857192993,0.16060826182365417,0.007589684799313545,526322,3.57478e+06,1088.32,0.312607
BD_Face_1_norm_pl_measurements.87/079,349.4051208496094,87.68255615234375,79.4051284790039,121.86753845214844,81.93183898925781,88.23689270019531,0.9821478724479675,0.18371304869651794,0.04043598845601082,0.16060826182365417,0.00540501344949007,526322,3.57478e+06,1088.24,0.3112
BD_Face_1_norm_pl_measurements.88/074,344.1644287109375,88.9681396484375,74.16444396972656,121.93055725097656,81.65618133544922,88.10344696044922,0.96189284324646,0.2728330194950104,0.01800844818353653,0.16060826182365417,0.00713005568832159,526322,3.57478e+06,1088.1,0.312972
BD_Face_1_norm_pl_measurements.80/069,339.74859619140625,80.38072967529297,69.74860382080078,122.20515441894531,81.0992660522461,87.79647064208984,0.9249919652938843,0.34127309918403625,0.16710038483142853,0.16060826182365417,0.007711606565862894,526322,3.57478e+06,1087.8,0.313169
BD_Face_1_norm_pl_measurements.80/063,333.280517578125,80.40168762207031,63.2805290222168,122.05807495117188,81.46647644042969,87.81915283203125,0.880714476108551,0.44332829117774963,0.16673964262008667,0.16060826182365417,0.004695081152021885,526322,3.57478e+06,1087.82,0.317096
BD_Face_1_norm_pl_measurements.80/073,343.13726806640625,80.7913818359375,73.13726806640625,122.11080169677734,81.03522491455078,88.22148132324219,0.9446688294410706,0.28634124994277954,0.16002953052520752,0.16060826182365417,0.007303903345018625,526322,3.57478e+06,1088.22,0.304519
BD_Face_1_norm_pl_measurements.73/089,359.1695556640625,73.28765106201172,89.16954803466797,122.24553680419922,80.76470947265625,87.87759399414062,0.957659900188446,0.013881425373256207,0.28756701946258545,0.16060826182365417,0.004735429771244526,526322,3.57478e+06,1087.88,0.316902
BD_Face_1_norm_pl_measurements.89/252,162.65330505371094,89.2481689453125,252.65330505371094,122.1954116821289,80.7424545288086,88.19847106933594,-0.9544360041618347,-0.29812711477279663,0.013121530413627625,0.16060826182365417,0.009663518518209457,526322,3.57478e+06,1088.2,0.312725
BD_Face_1_norm_pl_measurements.78/073,343.282958984375,78.34217834472656,73.282958984375,121.98779296875,81.34745788574219,88.24461364746094,0.937980592250824,0.2817118167877197,0.2020663321018219,0.16060826182365417,0.010769736021757126,526322,3.57478e+06,1088.24,0.314053
