Wavelength	REM49059000001.asd
569	 12129.1226958703 
570	 12190.2243379929 
571	 12251.4534408197 
572	 12311.3571437968 
573	 12369.6417097975 
574	 12426.7056221101 
575	 12486.141678611 
576	 12548.1508530808 
577	 12612.3500814317 
578	 12686.7524359597 
579	 12777.5906828762 
580	 12889.952601238 
581	 13026.02576977 
582	 13188.3355121507 
583	 13377.5686459677 
584	 13593.8897792743 
585	 13821.1923497806 
586	 14046.5664437093 
587	 14259.2084149533 
588	 14405.094753967 
589	 14483.2828461812 
590	 14515.4987894811 
591	 14521.2587606658 
592	 14498.6577395885 
593	 14445.8697242745 
594	 14378.0789177952 
595	 14282.1463979652 
596	 14155.6851402315 
597	 14014.4438175709 
598	 13861.1420799349 
599	 13701.5793055208 
600	 13543.0759145058 
601	 13385.1119506592 
602	 13231.0734473442 
603	 13084.3350089045 
604	 12940.4699352681 
605	 12803.753279625 
606	 12679.3402607395 
607	 12573.1817188006 
608	 12476.3076530683 
609	 12382.2678675231 
610	 12285.7508314513 
611	 12204.3146201018 
612	 12134.4529538139 
613	 12061.027954286 
614	 12009.6627164927 
615	 11960.0662304096 
616	 11886.2108092272 
617	 11805.8823531159 
618	 11724.3129968813 
619	 11643.5142589081 
620	 11557.8868156187 
621	 11493.4236652106 
622	 11426.6149630962 
623	 11265.0839901442 
624	 11089.9136168053 
625	 10969.0402854387 
626	 10965.3676762111 
627	 11003.5762015818 
628	 11061.4993452222 
629	 11131.6295654501 
630	 11223.7168251125 
631	 11328.9592700595 
632	 11443.314480001 
633	 11575.19864564 
634	 11722.5231300398 
635	 11884.1769207114 
636	 12059.9793929222 
637	 12236.8564947552 
638	 12413.8500827806 
639	 12594.6330592772 
640	 12775.4530011573 
641	 12951.4108248019 
642	 13118.1000318022 
643	 13273.5084971094 
644	 13418.9174726714 
645	 13555.5939561023 
646	 13684.9869298296 
647	 13803.857912861 
648	 13912.5385538215 
649	 14013.8778819417 
650	 14106.2994944635 
651	 14190.9888351371 
652	 14269.8702463775 
653	 14343.519154989 
654	 14412.8556229025 
655	 14479.4806475636 
656	 14546.9435737017 
657	 14615.4750184554 
658	 14684.2581500769 
659	 14750.6579765054 
660	 14817.7752679043 
661	 14888.9587721705 
662	 14967.5075551558 
663	 15045.7916913136 
664	 15121.3740608047 
665	 15194.110526509 
666	 15267.7585472045 
667	 15345.5058790852 
668	 15428.3008160908 
669	 15513.1765714623 
670	 15596.5235639045 
671	 15679.9946562454 
672	 15770.5529490949 
673	 15863.8007157908 
674	 15957.0309971332 
675	 16048.3157573918 
676	 16140.7994491649 
677	 16232.7394704952 
678	 16322.9570029954 
679	 16414.4263411033 
680	 16508.1113708917 
681	 16603.8361996643 
682	 16699.9429878345 
683	 16794.4728756144 
684	 16889.7781225455 
685	 16990.7406644894 
686	 17089.5173737662 
687	 17188.324536993 
688	 17290.9024960767 
689	 17395.0677609334 
690	 17498.8798175662 
691	 17601.7735880898 
692	 17706.3441823251 
693	 17810.2611636302 
694	 17914.3413426014 
695	 18022.3696816254 
696	 18132.2782853842 
697	 18244.2215895995 
698	 18358.6671228727 
699	 18473.0922296853 
700	 18585.9851512604 
701	 18697.7328268113 
702	 18814.131523945 
703	 18932.2525233807 
704	 19050.4608741197 
705	 19169.0637000411 
706	 19286.4863185379 
707	 19401.3520805789 
708	 19512.8395454983 
709	 19628.7921212301 
710	 19744.4597167703 
711	 19855.1899069044 
712	 19970.5902361739 
713	 20082.8537857394 
714	 20189.9716403498 
715	 20303.2230066367 
716	 20413.2059517014 
717	 20520.0778223053 
718	 20630.0948759622 
719	 20737.152626842 
720	 20840.0669887703 
721	 20939.3863433306 
722	 21037.6386484022 
723	 21134.1354342704 
724	 21228.0571560506 
725	 21319.6850850527 
726	 21404.0997919007 
727	 21481.9511964839 
728	 21559.2001225777 
729	 21631.7989077581 
730	 21702.3300098967 
731	 21774.4527592409 
732	 21842.2378869157 
733	 21906.6326730905 
734	 21967.6601576611 
735	 22019.1826765463 
736	 22069.9036753626 
737	 22121.4331096105 
738	 22167.6281462301 
739	 22208.7388705741 
740	 22242.4842393513 
741	 22266.0612673601 
742	 22279.5062430962 
743	 22286.6277164657 
744	 22291.1257058425 
745	 22293.7778803309 
746	 22298.2182527361 
747	 22305.0816210155 
748	 22311.1316264846 
749	 22320.2703979989 
750	 22325.0218184391 
751	 22314.5360988606 
752	 22303.2356908356 
753	 22285.8740089896 
754	 22259.3578578086 
755	 22239.4278855735 
756	 22215.5320572253 
